
*** Testing procedure CalcFrequency ***

 482  -86016.260309  -86016.260309        12113.574259   12113.574259
 483   54219.357116   54219.357116       -93899.439444  -93899.439444
 484   66158.088656   66158.088656        13348.177296   13348.177296
 485  -33602.179539  -33602.179539        14506.175809   14506.175809
 486  -39208.201982  -39208.201982        -2118.251128   -2118.251128
 487  -20582.049023  -20582.049023        69053.853272   69053.853272
 488   43600.675357   43600.675357        -6997.238756   -6997.238756
 489  101670.934826  101670.934826       151819.689908  151819.689908
 490  141605.381062  141605.381062        56008.767059   56008.767059
 491  -77563.803433  -77563.803433        14743.567995   14743.567995
 492 -124226.573405 -124226.573405       -15324.358277  -15324.358277
 493   37567.178649   37567.178649        11883.807263   11883.807263
 494  -31257.293542  -31257.293542       -33281.789198  -33281.789198
 495   79432.311986   79432.311986        36754.036231   36754.036231
 496   64179.070261   64179.070261       -95161.085553  -95161.085553
 497  -48175.051972  -48175.051972        45256.344605   45256.344605
 498  105595.447106  105595.447106          835.228155     835.228155
 499   41610.741695   41610.741695        16799.837605   16799.837605
 500  -41547.097249  -41547.097249        -8742.275799   -8742.275799
 501  -46887.304402  -46887.304402        59563.786046   59563.786046
 502  -88387.849916  -88387.849916        13308.493556   13308.493556
 503   30275.716404   30275.716404        12872.945016   12872.945016
 504   -3725.384079   -3725.384079        66670.766515   66670.766515
 505   75096.536624   75096.536624        77094.367492   77094.367492
 506 -116916.774521 -116916.774521       135657.026128  135657.026128
 507  -52252.034958  -52252.034958        94091.478109   94091.478109
 508  123056.618324  123056.618324       -76383.215156  -76383.215156
 509    3229.889213    3229.889213       -94009.795744  -94009.795744
 510   -6012.315631   -6012.315631         2815.190450    2815.190450
 511  -13474.230616  -13474.230615        16785.772661   16785.772662
